favorite_count,full_text,lang,quote_count,reply_count,retweet_count,username,remove_user,cleaning,tokenized_Content
9,jinx purposely not aiming at ekko.. i love you s1 crumbs.. https://t.co/4yTh1u2UaM,en,0.0,2.0,1.0,leaveinrunins,jinx purposely not aiming at ekko.. i love you s1 crumbs.. https://t.co/4yTh1u2UaM,jinx purposely not aiming at ekko i love you s crumbs ,"['""jinx""', '""purposely""', '""not""', '""aiming""', '""at""', '""ekko""', '""..""', '""i""', '""love""', '""you""', '""s1""', '""crumbs""', '""..""', '""https""', '"":""', '""//t.co/4yTh1u2UaM""']"
1035,idk if it's just me but every time I get really excited about something it never happensit's like I jinx it or sumn,en,5.0,11.0,187.0,debzzszn,idk if it's just me but every time I get really excited about something it never happensit's like I jinx it or sumn,idk if it s just me but every time I get really excited about something it never happensit s like I jinx it or sumn,"['""idk""', '""if""', '""it""', '""\'s""', '""just""', '""me""', '""but""', '""every""', '""time""', '""I""', '""get""', '""really""', '""excited""', '""about""', '""something""', '""it""', '""never""', '""happensit""', '""\'s""', '""like""', '""I""', '""jinx""', '""it""', '""or""', '""sumn""']"
15,bullet train is peak,en,0.0,3.0,1.0,meowchoso,bullet train is peak,bullet train is peak,"['""bullet""', '""train""', '""is""', '""peak""']"
74,I should've treated Jinx better...,en,0.0,4.0,2.0,orange_enforcer,I should've treated Jinx better...,I should ve treated Jinx better ,"['""I""', '""should""', '""\'ve""', '""treated""', '""Jinx""', '""better""', '""...""']"
1012,Is it even worth it anymore,en,1.0,14.0,68.0,jinxphobia,Is it even worth it anymore,Is it even worth it anymore,"['""Is""', '""it""', '""even""', '""worth""', '""it""', '""anymore""']"
23,i love jinx,en,0.0,3.0,5.0,shadowofzaun,i love jinx,i love jinx,"['""i""', '""love""', '""jinx""']"
37,i miss ekko,en,0.0,4.0,6.0,pinkviolyn,i miss ekko,i miss ekko,"['""i""', '""miss""', '""ekko""']"
246,LESBIAN JINX WHOS WITH ME,en,2.0,24.0,32.0,caitvieed,LESBIAN JINX WHOS WITH ME,LESBIAN JINX WHOS WITH ME,"['""LESBIAN""', '""JINX""', '""WHOS""', '""WITH""', '""ME""']"
93,I m the biggest Jinx apologist online idc she s perfect,en,6.0,3.0,17.0,kartoplya_arts,I m the biggest Jinx apologist online idc she s perfect,I m the biggest Jinx apologist online idc she s perfect,"['""I""', '""m""', '""the""', '""biggest""', '""Jinx""', '""apologist""', '""online""', '""idc""', '""she""', '""s""', '""perfect""']"
42,i miss jinx,en,0.0,4.0,12.0,jinxwings,i miss jinx,i miss jinx,"['""i""', '""miss""', '""jinx""']"
