authorDisplayName,likeCount,textDisplay,publishedAt
,0,@AdeDhani9 @prabowo @azissubekti @BANGSAygSUJUD @Ndons_Back @99propaganda @florieliciouss @FDonghun @Kimberley_PS08 @IrawanRommi @bengkeldodo @DarekaRendy Lw pernah,Thu Dec 18 23:59:52 +0000 2025
,0,@AntoniusCDN Biarin anjing menggonggong biarin HTI dan agen amerika zionis israel menggonggong Pak Jokowi Pak Prabowo dan Mas Gibran beserta rakyat Indonesia tetap bersatu ,Thu Dec 18 23:59:27 +0000 2025
,0,@AnakLolina2 @prabowo Tiada hari tanpa omon omon tiada hari tanpa tindakan nyata,Thu Dec 18 23:59:10 +0000 2025
,1,@FirmanSentosa22 @prabowo @mulkanjabariyan @mamakchayank @SumandoGaek @GandarAntarkota @ranglasi Gimana yg 10rb ya Om ,Thu Dec 18 23:59:06 +0000 2025
,1,@Boediantar4 Gak Polisi Gak TNI sama saja Mau dibawa kemana Negara ini pak @prabowo,Thu Dec 18 23:58:54 +0000 2025
,0,@ch_chotimah2 @prabowo @Gerindra Bohong. @prabowo pecat dan periksa.,Thu Dec 18 23:58:40 +0000 2025
,1,@ThatSun510 @prabowo @mulkanjabariyan @mamakchayank @SumandoGaek @GandarAntarkota @ranglasi 15rb teorinya praktek nya 6rb ,Thu Dec 18 23:58:25 +0000 2025
,0,@nalar_logis @prabowo @setkabgoid Presiden sekarang yg dulu menjabat sebagai menteri pertahanan punya proyek food estate dan gagal sekarang berambisi utk menjadi penyuplai sawit terbesar apa yang jadi dasar utk adanya mitigasi kalo kebijakannya terus menyebabkan deforestasi??? Coba di logika kan ,Thu Dec 18 23:58:22 +0000 2025
,0,@aelbekasi kentutin prabowo yu bersama 300rb orang di kalimantan,Thu Dec 18 23:57:57 +0000 2025
,1,@KemenperinRI Sepak terjang menteri2 yg tidak sejalan dengan Presiden Prabowo pada akhirnya semua telunjuk akan mengarah ke Prabowo lagi. Apakah hal ini gak disadari atau tertutupnya informasi ? Semua laporan ABS. Begitu kacaunya penanganan bencana ini. @bang_dasco,Thu Dec 18 23:57:48 +0000 2025
,1,@susipudjiastuti @prabowo Pesantren roboh banyak korban jiwa pengelola nya aman + dapat sumbangan ratusan milyar Ribuan nyawa mlayang akibat banjir di sumatra yg sebgain besar karna deforestasi tapi blm ada yang ditetapin sbgai tersngka Nyuri burung langsung jd tersangka Oh negriku ,Thu Dec 18 23:57:27 +0000 2025
,4,@kompascom Kata om @prabowo kita ini bngsa yg besar gak butuh bntuan. Yg besar itu egomu yb besar cuma omon2mu,Thu Dec 18 23:57:25 +0000 2025
