tweet_date,twitter_id,handle,Text,profile_url,name,tweet_link,timestamp,query
Wed Dec 17 23:51:50 +0000 2025,1697190384,DiGenius_,@rn_livi Dahlia ? No da woman deh did cut Samsung hair!?,https://twitter.com/DiGenius_,BlooRegards,https://twitter.com/DiGenius_/status/2001440230054707292,Today at 11:27,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&f=live&src=typed_query
Wed Dec 17 23:50:49 +0000 2025,974625160572514305,ulurupages,"@tanyakanrl Samsung klo mau yg awet beli seri A, yg paling bagus A56, pokoknya seri A awet bener2 tahan banting, soalnya layarnya pake teknologi yg berbeda",https://twitter.com/ulurupages,Karzyn,https://twitter.com/ulurupages/status/2001439976236425581,Today at 11:27,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&f=live&src=typed_query
Wed Dec 17 23:50:35 +0000 2025,1444702272701677573,reaaading,@ladiekilr Kak pernah coba pakein magsafe wallet gaa? Kalo samsung kan agak nabrak kamera paling bawah. Nah itu pinggiran kameranya aman ga kalo dipakein wallet. Soalnya kalo ketinggian jadi ga bisa nempel walletnya,https://twitter.com/reaaading,ub#2,https://twitter.com/reaaading/status/2001439916291690813,Today at 11:27,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&f=live&src=typed_query
Wed Dec 17 23:49:46 +0000 2025,3194804960,jwooamb,"Justru kenapa Annie dapat julukan 'nepo baby' karena kepercayaan publik thd keluarganya/Samsung hirarki itu rendah. Beda klo si Annie itu berasal dari keluarga Kaya 'biasa' orang2 justru ga peduli. Jd mo Annie jalur trainee atau gak, orang akan berspekulasi dia pake jalur ordal",https://twitter.com/jwooamb,Ionvibes,https://twitter.com/jwooamb/status/2001439708816035979,Today at 11:27,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&f=live&src=typed_query
Wed Dec 17 23:47:45 +0000 2025,1444702272701677573,reaaading,@itsmi_myname @belatedrull @dvressy Kak udah pernah coba buat pasang magsafe wallet ga? Soalnya kalo samsung kan agak nabrak kamera tuh kalo pake wallet jadi ga bisa tinggi2 tempat kameranya,https://twitter.com/reaaading,ub#2,https://twitter.com/reaaading/status/2001439202224058530,Today at 11:27,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&f=live&src=typed_query
Wed Dec 17 23:43:17 +0000 2025,1076381466169393152,EtornamSmith,@kabuteyyy Samsung&gt;&gt;&gt;,https://twitter.com/EtornamSmith,Achraf Kojo Hakimi👻,https://twitter.com/EtornamSmith/status/2001438078922097029,Today at 11:27,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&f=live&src=typed_query
Wed Dec 17 23:43:00 +0000 2025,1843990244443742208,genzkedai,"@tanyakanrl Tuker sim slot nya nder, ak pengguna samsung dan redmi pernah gini malah gak kedetesi sinyal nya. Tp setelah di tuker jd lancar lagi",https://twitter.com/genzkedai,GEN Z KEDAI,https://twitter.com/genzkedai/status/2001438007337845204,Today at 11:27,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&f=live&src=typed_query
Wed Dec 17 23:42:37 +0000 2025,1455326780093460482,nnisastern,@tanyakanrl ambil samsung saja,https://twitter.com/nnisastern,sedia nisa sebelum hujan,https://twitter.com/nnisastern/status/2001437911343136802,Today at 11:27,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&f=live&src=typed_query
Wed Dec 17 23:40:29 +0000 2025,2979588928,l_zfelizz_,"@hadeuhcapebgtz @tanyakanrl kakk, ini termasuk AMOLED Full HD Plus kah? bukan samsung sih, tapi layar hpku kek gini",https://twitter.com/l_zfelizz_,vanillalattee,https://twitter.com/l_zfelizz_/status/2001437373985616279,Today at 11:27,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&f=live&src=typed_query
Wed Dec 17 23:39:40 +0000 2025,1310424729233154048,sistweet_,Bjir samsung bisa sync sama icloud wow,https://twitter.com/sistweet_,saijieom,https://twitter.com/sistweet_/status/2001437166623412698,Today at 11:27,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&f=live&src=typed_query
