created_at,favorite_count,full_text,lang,quote_count,reply_count,retweet_count,sentiment
Sun Aug 03 08:42:57 +0000 2025,0,@txtdrimedia Hanya orang bodoh yang takut sama bendera One Piece,in,0,0,0,Netral
Sun Aug 03 08:42:14 +0000 2025,0,siapa yg 17an mau pasang bendera one piece?,in,0,0,0,Netral
Sun Aug 03 08:42:10 +0000 2025,1,@esdeganzzzzzzz @txtdrimedia Ya menjual bendera One Piece halal selama tidak promosikan hal terlarang dalam Islam dan legal jika resmi tak langgar hak cipta. Tapi pemerintah imbau kibarkan Merah Putih di HUT RI jangan bikin pedagang takut! ‍️🇮🇩,in,0,0,0,Netral
Sun Aug 03 08:39:35 +0000 2025,0,@ArezReja @txtdrimedia Boleh dicoba ditempat saya udah ada himbauan massif (lbh tepatnya ancaman) agar warga tdk memasang bendera one piece bahkan malam hari ada 2 mobil aparat (shabara &amp; angkutan kursi) yg keliling tiap desa. Bener deh militer dominan di pemerintahan dah balik ke rezim orba.,in,0,1,0,Netral
Sun Aug 03 08:39:22 +0000 2025,0,@neohistoria_id Gabisa bayangin apa reaksi dunia kalo sampe ada yg dipenjara gara bendera one piece ,in,0,0,0,Netral
Sun Aug 03 08:38:57 +0000 2025,0,@txtdrimedia Kalau soal bokep bendera one piece dan hal2 receh kayaknya ononohhh paling gercep dah. Kasus2 yang lain kagak berani kicep.,in,0,0,0,Netral
Sun Aug 03 08:38:22 +0000 2025,0,@txtdrimedia Wkwkwkwwk kebanjiran rejeki dr bendera one piece semangat abang bendera,in,0,0,0,Netral
Sun Aug 03 08:37:51 +0000 2025,0,@KaruniaW50341 @mediaindonesia Jolly Roger bukan nama orang tapi sebutan untuk bendera bajak laut tradisional dengan gambar tengkorak dan tulang silang. Asalnya dari sejarah bajak laut abad 17-18 kini populer lewat manga/anime One Piece sebagai simbol petualangan dan perlawanan. Dalam konteks protes ia,in,0,1,0,Netral
Sun Aug 03 08:37:38 +0000 2025,0,@RatnaPuspi16942 @MurtadhaOne1 Daripada pasang bendera partai mending pasang bendera one piece ,in,0,0,0,Netral
Sun Aug 03 08:34:08 +0000 2025,0,@txtdrimedia gaje anjir. pemerintahnya baru bendera one piece begini saja digede-gedein. giliran korupsi ditutup-tutupi. ini yang baru turun bendera one piece lho. belum bendera akatsuki. xixixi,in,0,0,0,Netral
Sun Aug 03 08:31:13 +0000 2025,0,@bnsphrxyzzz jujur sih menurut saya agak cringe pamerin bendera one piece mw bendera one piece palestine ISIS lebih baik jgn d pamerin d indo juga ,in,0,0,0,Netral
Sun Aug 03 08:30:47 +0000 2025,0,@ike_hw71 Itu sebelum jd wapres. Dan sebelum ada isu mau kibarin bendera one piece. Kerjaan kok ngibul dan ngompor mulu. Gimana mau maju Indonesiaku,in,0,0,0,Netral
Sun Aug 03 08:30:26 +0000 2025,0,Wong nduwur iki aneh tau warga indonesia mentalnya larangan adalah perintah malah bikin pernyataan publik gajelas bendera fiktif one piece adalah indikasi makar dilarang ,in,0,0,0,Netral
Sun Aug 03 08:28:08 +0000 2025,0,@tempodotco Ga habis pikir ama modelan org kek gini dia pikirnya nih semua pasti didanai oleh koruptor/ASEEENGG padahal udh sampe grassroot loh bendera one piece ini malah gua awal tau ada kek gini dari tiktok seorang sopir truk bukan influencer atau apa.,in,0,0,0,Netral
Sun Aug 03 08:28:04 +0000 2025,0,@ch_chotimah2 Tambah tulisan di bendera one piece GANYANG KORUPTOR .bukan hanya omon²,in,0,0,0,Netral
Sun Aug 03 08:27:16 +0000 2025,0,ternyata pemerintah lebih takut bendera one piece dibanding sumpah jabatan disaksikan kitab suci ituuu~,in,0,0,0,Netral
Sun Aug 03 08:26:10 +0000 2025,3,@prabowo Bangsa besar tapi ketakutan sama bendera one piece bangsa besar yg dibesar besarin ,in,0,0,0,Netral
Sun Aug 03 08:26:06 +0000 2025,0,@Fahrihamzah Pengalihan bendera one piece ,in,0,0,0,Netral
Sun Aug 03 08:25:35 +0000 2025,0,@txtdrimedia Ada apa dgn bendera one piece?? Bukankah bendera one piece bukan bendera organisasi terlarang? Kok jadi maksa2 ? Kenapa yg korupsi gak ditindak tegas? Kenapa kebijakan yg menyengsarakan rakyat gak ditindak tegas? Kenapa pajak tinggi gak ditindak tegas?,in,0,0,0,Netral
Sun Aug 03 08:25:11 +0000 2025,0,@tanyarlfes Takut tuhan Takut balasan di akhirat Takut second acc Takut bendera one Piece Goblok emang para pejabat goblok goblok anjing tai semua ga ikhlas dunia akhirat pajak gua dipake buat ngegaji orang beginian.,in,0,0,0,Netral
Sun Aug 03 08:23:50 +0000 2025,0,Infokan tempat beli Bendera One Piece di Aceh kayaknya tadi gw di sepanjang jalan ga pernah lihat ada yg jualan bendera One Piece,in,0,2,0,Netral
Sun Aug 03 08:22:50 +0000 2025,0,@Shi_noBee @achehsultanate Maaf atas kesalahan info awal. Tren pengibaran bendera One Piece nyata sebagai protes polisi Banten ancam tindak tegas (sumber: Tempo Kompas). Tapi foto ini hoax detail seragam buram seperti AI. Terima kasih koreksinya!,in,0,0,0,Positif
Sun Aug 03 08:22:19 +0000 2025,1,@txtdrimedia Dibagian bawah bendera one piece tambah tulisan GANYANG KORUPTOR ,in,0,0,0,Netral
