created_at,favorite_count,full_text,lang,quote_count,reply_count,retweet_count,sentiment
Sun Aug 03 04:12:30 +0000 2025,0,welcome back mc beomgyu pagii minggu bendera,in,0,0,0,Netral
Sun Aug 03 04:12:25 +0000 2025,0,Jujur gw mau ngibarin bendera Latveria,in,0,0,0,Positif
Sun Aug 03 04:12:20 +0000 2025,0,@abah_rey03 @wahnyoto0630669 @somexthread Bukan salah bendera dan negara ini think smart,in,0,0,0,Netral
Sun Aug 03 04:12:10 +0000 2025,0,@txtdrimedia Gerahhh amat cuma sama bendera doang tuh bandar Judol berkeliaran pada gak kegerahaan kalian diatas? ,in,0,0,0,Positif
Sun Aug 03 04:12:07 +0000 2025,0,@ARSIPAJA Takut kok sama bendera animek,tr,0,0,0,Positif
Sun Aug 03 04:12:00 +0000 2025,0,@wahnyoto0630669 @somexthread Moncongmu dimana ketika korupsi merajalela hukum diperjualbelikan bagi2 kekuasaan sumber daya alam di rusak tapi tidak memberikan manfaat ke masyarakat luas gua yakin pahlawan klo masih hidup jg ud pasti bakalan memberikan perlawanan lebih dri sekedar bendera anime.,in,0,0,0,Negatif
Sun Aug 03 04:11:59 +0000 2025,0,@antaranews Kader parcok urusin aja barang bukti yg sering kalian hilangkan. Gak usah alergi dengan bendera. Parcok2 peliharaan Mulyono,in,0,0,0,Positif
Sun Aug 03 04:11:59 +0000 2025,0,@ARSIPAJA Cuma gegara 1 bendera kartun doang sampe dianggep gejolak,in,0,0,0,Positif
Sun Aug 03 04:11:32 +0000 2025,0,FYC - Yessica's Waterproof Foundation Cover Girl Air Moisturize Skin https://t.co/ywvPsWuhOn Presiden Jokowi bendera senin minggu,en,0,0,0,Netral
Sun Aug 03 04:11:29 +0000 2025,0,Padahal mau pasang bendera black bull,in,0,0,0,Positif
Sun Aug 03 04:11:02 +0000 2025,0,@rahmatsn @prabowo Dasar hukumnya apa @_poldabanten ? Apa bedanya dgn mengibarkan bendera parpol atau bendera ormas?,in,0,0,0,Positif
Sun Aug 03 04:10:59 +0000 2025,0,@kompascom Gue gak peduli. Gue tetep bakal kibarin bendera One Piece. Berani? Tangkap aja!,in,0,0,0,Positif
Sun Aug 03 04:10:56 +0000 2025,0,Diskon Gila ShopeeFood! ️ Voucher 100% s/d 40rb &amp; 22rb bisa buat semua resto! Klaim vouchernya dulu di sini ⬇️ https://t.co/11iF7o0j1A https://t.co/11iF7o0j1A t. gofood grabfood kode promo go grab shopee food sfood voucher gacoan pagii sarapan bendera presiden jokowi https://t.co/03zHhRzoDM,in,0,0,0,Netral
Sun Aug 03 04:10:53 +0000 2025,0,@somexthread Takut banget sama bendera one peace. . Sekuat itukah lufy dan teman2nya.,in,0,0,0,Positif
Sun Aug 03 04:10:47 +0000 2025,0,@WatchmenID Bendera negara api ada gak bagus tuh,in,0,0,0,Positif
Sun Aug 03 04:10:41 +0000 2025,0,AYO KIBARKAN MERAH PUTIH! 🇮🇩 Dalam semangat memperingati 80 Tahun Kemerdekaan Republik Indonesia mari kita tunjukkan cinta tanah air dengan mengibarkan Bendera Merah Putih serentak di seluruh pelosok negeri mulai tanggal 1 hingga 31 Agustus 2025. https://t.co/jIQVBjJXFI,in,0,0,0,Negatif
Sun Aug 03 04:10:41 +0000 2025,0,pen punya truk terus masang bendera Joss Gawin di jendela biar next periode mereka nyalon jadi capres cawapres ,in,0,0,0,Netral
Sun Aug 03 04:10:31 +0000 2025,0,POSTER BENDERA FLAG ONE PIECE ANIME Decor Kain Anime Luffy https://t.co/iwoSdAyM4b,en,0,0,0,Netral
Sun Aug 03 04:10:25 +0000 2025,1,kalau pengibaran bendera Palestina? @agama_nusantara @BayuAngora @sakkusaitna @Valhallaah @spektrumku @Kappa_2023 @bnsphrxyzzz @RefublikAteis @iphone7decoco @Sentjoko @PaijoKentirr @tepig_pignite @FaktaBerita89 @iam_zelt @balaputra_deva,in,0,0,0,Netral
Sun Aug 03 04:10:08 +0000 2025,0,Bapak dengan percaya dirinya di depan banyak orang: bendera tengkorak sekarang yang banyak dikibar,in,0,0,0,Positif
Sun Aug 03 04:09:40 +0000 2025,0,Kalo kamu takut sama bendera topi jerami mungkin kamu keturunan tenryuubito,in,0,0,0,Positif
Sun Aug 03 04:09:25 +0000 2025,0,@somexthread Dulu mulyono takut ma kaos sekrang omon omon takut ma bendera onepiece! Vangke!,in,0,0,0,Positif
Sun Aug 03 04:09:12 +0000 2025,0,Voucher 100% Buat Semua Resto! Diskon s/d 30rb &amp; 22rb Klaim sekarang bisa dipakai nanti! Klaim dulu dari resto ini: https://t.co/cZocGNHH8O t. gofood grabfood kode promo go grab shopee food sfood voucher voc wtb jual beli gacoan pagii sarapan bendera https://t.co/t3DMOxkW24,in,0,0,0,Netral
Sun Aug 03 04:08:51 +0000 2025,0,@txtdrimedia Semua karena yang bikin kebijakan tolol minta ampun kok bisa kemakan berita media yang bilang BENDERA ONE PIECE SIMBOL APA? kurang lebih gtu dari dulu juga udah ada. Gedeg anjr sama orang tolol selama bendera ga lebih dari bendera Indonesia masih sah-sah aja. Bisa aja wibu,in,0,0,0,Positif
