full_text,sentiment
welcome back mc beomgyu pagii minggu bendera,Netral
Jujur gw mau ngibarin bendera Latveria,Positif
@abah_rey03 @wahnyoto0630669 @somexthread Bukan salah bendera dan negara ini think smart,Netral
@txtdrimedia Gerahhh amat cuma sama bendera doang tuh bandar Judol berkeliaran pada gak kegerahaan kalian diatas? ,Positif
@ARSIPAJA Takut kok sama bendera animek,Positif
@wahnyoto0630669 @somexthread Moncongmu dimana ketika korupsi merajalela hukum diperjualbelikan bagi2 kekuasaan sumber daya alam di rusak tapi tidak memberikan manfaat ke masyarakat luas gua yakin pahlawan klo masih hidup jg ud pasti bakalan memberikan perlawanan lebih dri sekedar bendera anime.,Negatif
@antaranews Kader parcok urusin aja barang bukti yg sering kalian hilangkan. Gak usah alergi dengan bendera. Parcok2 peliharaan Mulyono,Positif
@ARSIPAJA Cuma gegara 1 bendera kartun doang sampe dianggep gejolak,Positif
FYC - Yessica's Waterproof Foundation Cover Girl Air Moisturize Skin https://t.co/ywvPsWuhOn Presiden Jokowi bendera senin minggu,Netral
Padahal mau pasang bendera black bull,Positif
@rahmatsn @prabowo Dasar hukumnya apa @_poldabanten ? Apa bedanya dgn mengibarkan bendera parpol atau bendera ormas?,Positif
@kompascom Gue gak peduli. Gue tetep bakal kibarin bendera One Piece. Berani? Tangkap aja!,Positif
Diskon Gila ShopeeFood! ️ Voucher 100% s/d 40rb &amp; 22rb bisa buat semua resto! Klaim vouchernya dulu di sini ⬇️ https://t.co/11iF7o0j1A https://t.co/11iF7o0j1A t. gofood grabfood kode promo go grab shopee food sfood voucher gacoan pagii sarapan bendera presiden jokowi https://t.co/03zHhRzoDM,Netral
@somexthread Takut banget sama bendera one peace. . Sekuat itukah lufy dan teman2nya.,Positif
@WatchmenID Bendera negara api ada gak bagus tuh,Positif
AYO KIBARKAN MERAH PUTIH! 🇮🇩 Dalam semangat memperingati 80 Tahun Kemerdekaan Republik Indonesia mari kita tunjukkan cinta tanah air dengan mengibarkan Bendera Merah Putih serentak di seluruh pelosok negeri mulai tanggal 1 hingga 31 Agustus 2025. https://t.co/jIQVBjJXFI,Negatif
pen punya truk terus masang bendera Joss Gawin di jendela biar next periode mereka nyalon jadi capres cawapres ,Netral
POSTER BENDERA FLAG ONE PIECE ANIME Decor Kain Anime Luffy https://t.co/iwoSdAyM4b,Netral
kalau pengibaran bendera Palestina? @agama_nusantara @BayuAngora @sakkusaitna @Valhallaah @spektrumku @Kappa_2023 @bnsphrxyzzz @RefublikAteis @iphone7decoco @Sentjoko @PaijoKentirr @tepig_pignite @FaktaBerita89 @iam_zelt @balaputra_deva,Netral
Bapak dengan percaya dirinya di depan banyak orang: bendera tengkorak sekarang yang banyak dikibar,Positif
Kalo kamu takut sama bendera topi jerami mungkin kamu keturunan tenryuubito,Positif
@somexthread Dulu mulyono takut ma kaos sekrang omon omon takut ma bendera onepiece! Vangke!,Positif
Voucher 100% Buat Semua Resto! Diskon s/d 30rb &amp; 22rb Klaim sekarang bisa dipakai nanti! Klaim dulu dari resto ini: https://t.co/cZocGNHH8O t. gofood grabfood kode promo go grab shopee food sfood voucher voc wtb jual beli gacoan pagii sarapan bendera https://t.co/t3DMOxkW24,Netral
@txtdrimedia Semua karena yang bikin kebijakan tolol minta ampun kok bisa kemakan berita media yang bilang BENDERA ONE PIECE SIMBOL APA? kurang lebih gtu dari dulu juga udah ada. Gedeg anjr sama orang tolol selama bendera ga lebih dari bendera Indonesia masih sah-sah aja. Bisa aja wibu,Positif
@txtdrimedia pake bendera akatsuki aja skg https://t.co/l0qdqwpTY9,Netral
Buat apa masang bendera tapi hidup rakyatnya gini-gini aja dan pemerintahnya makin menggila,Positif
jd pengen beli bendera wanpis,Netral
@Kanseulir Klo bendera israel kan ada undang2nya y ? tdk boleh dikibarkan...Klo bendera itu g boleh jg gt ? Ada undang2nya gt ? ,Netral
@ARSIPAJA kok takut sm bendera anime?,Positif
@somexthread Kenapa takut sama bendera fiksi?,Positif
Abang tukang bendera kaga mau lewat gang saya apa ya. Perasaan kemaren lewat gang sebelah,Positif
Kukar Dalam rangka menyambut Hari Ulang Tahun (HUT) Kemerdekaan Republik Indonesia ke-80 Polsek Kota Bangun bersama pemerintah desa dan masyarakat menggelar kegiatan pemasangan 530 bendera Merah Putih secara serentak Jumat (1/8/2025) pagi. https://t.co/EbolrF3DhB,Netral
@rosandus Sambil milih bendera mugiwara,Netral
@haimanusiabumi @BudiBukanIntel @walikonten @barengwarga @txtdaribogor Takut Ma bendera anime tau kan ujungnya intimidasi n kriminalisasi ketika nanti meluas pasti akan cari kambing hitam,Positif
gejolak aki² vintage takut koq sama bendera anime takut mah sama dosa azab karma apalagi dikasih amanat jd pemimpin tp koq demen bangett dzolim sama hajat hidup orang banyak?? prikkk udah bau tanah mah mendingan tobat inget dosa takutnya jd penghuni kerak neraka abadi,Positif
Jelang HUT RI Ke-80 Personel Kompi 2 Batalyon B Pelopor Bagikan Bendera Merah Putih Yang Berukuran 10x15 Kepada Pengendara Roda Dua Dan Roda Empat. (3/8/2025). https://t.co/DW0HB4YE1M,Netral
Jangan Salahkan Pengibar Bendera Bajak Laut! https://t.co/8CzbEbfENB,Positif
@neVerAl0nely__ Kata MENKEU terbaik didunia pajak akan kembali ke rakyat ko ini gak dibangun jembatan dari uang pajak rakyat Indonesia ? Oh iya terus @DPR_RI nya sibuk bahas bendera one piece ya klo urusan jembatan pura2 tutup mata dan telinga. https://t.co/ciERSGjxdA,Positif
@kompascom Masyarakat dilarang kibarkan Bendera One Piece. Tetapi para Badjingan di belakang mengibarkan Korupsi Anggaran Rakyat disuruh Bayar Pajak Paling Benar Kim Jong Un jadi Presiden Indonesia. Buat Kirim Satu (1) Nuklir ke Gedung Tikus https://t.co/p6yHNloqT5,Positif
Bendera merah putih adalah simbol cinta tanah air dan penghormatan terhadap jasa para pahlawan yang telah berjuang melawan penjajah demi kemerdekaan Indonesia https://t.co/ozzJ5srLMp,Negatif
Kemeriahan sederhana menjelang HUT RI ke 80 di pojok desa.Event untuk berikan kenangan kecil bagi adik2 usia TK dan SD agar disimpan smpe masa yg akan dtg dgn suguhan pohung yg akan dibakar/direbus. Saat bersamaan hiruk pikuk dunia maya dgn bendera One Piece. Salam pohung bakar https://t.co/oHvFd3LqYm,Negatif
Ayo kibarkan bendera merah putih https://t.co/dF2qF3XlrU,Netral
Viral! Jelang HUT RI Pemkab Bogor Disebut Gencar Bagikan Bendera Merah Putih untuk Cegah Maraknya Kibaran One Piece #Viral #HUTRI #PemkabBogor #Bogor #Bendera #MerahPutih #OnePiece #UangKartal https://t.co/Zcm4Sp5VBG,Netral
Karna pemerintahnya ga ngotak. Pemerintah mau kita ikutin mereka tp mereka mendengarkan rakyat aja enggak mau. Kenala kalian takut banget sih sama bendera dr anime? Salah ya kalian? Please deh jangan kolot jd pemerintah jangan mau di dengar rakyat trs tp dengar jg rakyatnya.,Positif
Padahal kita masih menghormati bendera merah putih orng yg mengibarkan bendera one piece juga pada tau ga blh ngibarin lbh tinggi dr pada bendera merah putih mereka tau bendera itu sakral dan memang sudah ada aturannya. Wajar kita sebagai rakyat berontak -,Positif
SAMA BENDERA TAKUT SAMA ALLAH GAK TAKUT BAHKAN SERING DIPERMAINKAN. DASAR KONTOL,Positif
Di sekolahin lama lama malah ngibarin bendera one piece selain gaada nasionalisme.. Masukkin rsj aja pak aneh aneh..,Positif
Dan yang mengibarkan bendera one piece itu sedeng si aneh aneh aja.. Indonesia sedang baik baik saja coba bandingin dengan negara lain yang geopolitiknya lagi kacau khususnya yang baru berperang di kawasan asia u know lah.. Makanya kalau mau aksi jangan sembarangan,Positif
eh tapi gua udah di tahap mau co bendera ini wkwkwk,Netral
orng' pada masang bendera one piece gw sebagai villains pngen bngt masang bendera byuma(g punya jga sihh) hhuuu,Positif
Sialan kita berada dijaman dimana wibu dianggap seperti PKI gara2 bendera one piece https://t.co/RCOHwtFEyz,Positif
@sedaryut73015 @goo_miko @achehsultanate Terima kasih telah menyoroti koreksi saya. Gambar itu memang buatan AI tapi tren bendera One Piece sebagai simbol protes di Indonesia nyata seperti dilaporkan Antara News dan Telegraph India. Tetap waspada terhadap hoaks!,Netral
Instrospeksi lah. Kenapa terjadi ada bendera bajak laut. Itu bentuk kekecewaan dan ingin perbaikan. Bukanlah kejahatan ada karena kemiskinan? Beda kasus bagi korupsi seperti minum air laut,Positif
Mau bikin bendera hoseok deh as penduduk hope world nation ini perlu mengibarkan bendera hoseok,Netral
Mending ngibarkeun bendera persib,Netral
Lowkey want to buy bendera wanpis and just hang it in my room,Netral
@ARSIPAJA Sama bendera doang ngerahin intelejen,Positif
@gilak1234567890 @bangherwin Tetep kalau bisa jangan si NKRI harga mati walau negaranya mau mati. Gaada lebih tinggi dari Bendera Indonesia di negara ini,Positif
ASL brotherhood normal life AU -ASL chatgroup- Fy lagi di mana? Kok belum pulang? Masih di jalan lagi mau beli bendera dulu bang hehe Bendera mugiwara kah? Yoiiii Mantaaap : https://t.co/zQYtNVKBZ6,Netral
Kok ada ya orang takut sama bendera one piece,Positif
@yumacaroon_ menari lagu jepang di bawah bendera indonesia is so wild ANW KAMU KEREN BANGET CHOOO,Negatif
@tanyakanrl masih bisa pake bendera yang lama soalnya ga harus tiap tahun beli hehe,Netral
Siapa di sini yang mau ikut tetep kekeuh masang bendera One Piece?,Positif
Kadang kehadiran negara itu sederhana: kibarkan bendera dan rangkul rakyat. Papua merasakannya di Beoga. #WestPapua https://t.co/q8jlKBfGUz,Netral
Beoga bukan terlupakan. Buktinya bendera dikibarkan dan senyum anak-anak Papua jadi hadiah terindah. #WestPapua https://t.co/SnYMdnsxsm,Negatif
Yang ga boleh bendera Straw hat kan? Kalau ini boleh dong https://t.co/uCuFRIPkQa,Netral
bendera merah putih terlalu suci dikibarkan untuk negara banyak sampahnya ini,Positif
Setuju kalau dibaca baik-baik kan kita ga ngomong pro atau kontra tapi kita bedah fenomena bendera one piece ini ada darimana dan kenapa bisa ramai di khalayak umum. Kalau 3 hal yang disebutin terpenuhi rasanya juga engga mungkin sopir nolak dan protes ,Negatif
Di pedalaman Beoga bendera Merah Putih tetap berkibar gagah. Semangat kebangsaan hadir sampai ke pelosok Papua. Kita jaga bareng! 🇮🇩 #WestPapua https://t.co/5GLsKVqtvs,Negatif
Dasco menegaskan bendera Merah Putih tetap menjadi satu-satunya simbol nasional yang dikibarkan dalam peringatan 17 Agustus nanti. Dia berharap peringatan kemerdekaan RI dirayakan dengan kegiatan-kegiatan yang menyatukan bangsa.,Netral
 Dianggap bendera tengkorak itu bendera separatis padahal itu manga yang sudah puluhan tahun tumbuh sama generasi muda kita. Ini salah satu staf saya anaknya sudah tiga dia juga bilang dirinya Nakama ujarnya.,Positif
Ketua Harian DPP Partai Gerindra itu juga meminta agar tidak ada upaya mendiskreditkan penggemar One Piece dengan narasi bahwa bendera tersebut merupakan simbol makar atau bentuk upaya menjatuhkan pemerintah. Sebab hal ini dapat menimbulkan kesalahpahaman di tengah masyarakat.,Netral
Hal ini disampaikan merespon isu pengibaran bendera One Piece di berbagai daerah jelang peringatan HUT ke-80 RI.,Netral
Sufmi Dasco: Tak Perlu Benturksn Bendera Merah Putih dengan One Piece https://t.co/JETVSsxZxS,Netral
@bagaspambudi Bgsd emg negara takut ama bendera,Positif
Bendera One adalah ekspresi sosial masyarakat yg tengah kecewa terhadap situasi politik &amp; penyelenggaraan negara. Silakan kalian mau pasang bendera apapun HUT RI ke-80 asal jgn sampe lebih tinggi dari bendera merah yg wajib kita hormati. Jika merasa Pemerintah &amp; anggota DPR yg https://t.co/e33HawsFwF,Positif
TOLOL ..!!!! Sementara kampung2 Narkoba dibiarkan marak n judi online tetap menjamur..!! Sama Bendera one piece kalian kejang2..!! SEHARI AJA GAK TOLOL BISA GAK SIH KALIAN.!!!,Positif
Seharusnya mengibarkan bendera partai juga dilarang sih Krn memecah belah bangsa dan efeknya terasa smp sekarang...,Positif
@nayullls @Piipooow @kosutetangga I yg mikir pengibaran bendera vilek.... https://t.co/liR59431UA,Positif
 kalo mau seru-seruan aja ya bisa kok pake bendera fandom sendiri. di depan rumah : https://t.co/to8ZsIKvEK,Netral
@IndoPopBase Kalo bendera mugiwara ditolak kibarkan bendera ini aja https://t.co/YpwMHDxINx,Netral
@autumnminee kita kibarkan bendera mahae,Netral
@ViralBanget_62 Pantes takut sama bendera one piece,Positif
Nemu salah satu stand di cfd tadi sudah mengibarkan bendera jelly roger one piece https://t.co/qr52P23bNF,Netral
bapak ak masang bendera tapi nutupin cahaya yang masuk ke rumah jir... jadi gelap ,Netral
Detik² Warga Kesetrum bareng Saat Pasang Bendera Sambut 17an Tag temanmu yang perlu tahu info ini. Info kegiatan/kejadian/laporan lainnya bisa kamu kirim lewat DM ya! Follow @bondostory biar nggak ketinggalan info lokal lainnya! https://t.co/biIdV8dv9X,Netral
@txtdrimedia Tindak tegas mah korupter atuh piraku sieun ku bendera kck,Positif
@greyhayeeee @Ty1erSOL @todayanimenews Haha seru ya bang apalagi kalau protesnya ala Luffy lawan korupsi. Bendera Straw Hat Pirates lagi viral buat simbol perlawanan di Indonesia tapi wakil ketua DPR bilang ancaman nasional. Tetap semangat seperti One Piece: kebebasan dimulai dari persatuan! ‍️ Sumber: Antara,Negatif
@somexthread Giliran bendera partai berkibar sepanjang jalan di diemin aja lonte,Positif
@somexthread pemerintah tetap menindas bos pasang bendera aja tetap di tindas,Positif
Hormati jasa pahlawan dengan kibarkan Merah Putih! Tolak bendera lain demi cinta tanah air! #BenderaKita #IndonesiaMerdeka https://t.co/Mx2Y1WjjYi,Negatif
Gak ada yg salah dgn One Piece. Tapi kalo benderanya disandingkan dgn Merah Putih itu bukan soal selera lagi. Itu soal etika &amp; penghormatan. Merah Putih itu sakral. Kalo disejajarkan dgn bendera bajak laut berarti ada yg keliru dlm cara kita menghargai sejarah bangsa. https://t.co/QjbL9j4ACh,Positif
Komsos Inspiratif Babinsa Koramil 1618-06/Bian Dorong Warga Pasang Bendera dan Sukseskan HUT RI ke-80 #Kodim1618TTU #tniadmengabdidanmembangunbersamarakyat #tnibersamarakyat #TNIPRIMA #Profesional #Responsif #Integratif #Modern #Adaptif https://t.co/QlSfXNqGOz,Netral
@ElvinaNara Ya udah pake bendera ini aja ya.... https://t.co/BxCJh8HhEI,Netral
