authorDisplayName,likeCount,Text,publishedAt
,0,『Fate/strange Fake』第3話、二原（第二原画）の制作風景を少しだけお届けします！️ 当チームが担当した制作資料の一部を公開いたします。掲載を快諾してくださったA-1 Pictures様に、心より感謝申し上げます。 https://t.co/A9wiIVSH6N,Sun Jan 18 04:51:15 +0000 2026
,0,Fate/strange Fake第3話の最後で I ASK YOU ART THOU my MASTER? ってあるけど、ARTはareの古い英語で、THOUも二人称単数現在のyouの古い英語 「汝が」という日本語の訳として使われることも多いから知ってる人もいるとは思うけど、こういうのは学校ではあまり教えてくれないよね,Sun Jan 18 04:50:16 +0000 2026
,0,Fate Strange/Fake is high-key funny as hell ,Sun Jan 18 04:48:28 +0000 2026
,2,[ayo is that richard the lionheart from fate strange fake over there???? ],Sun Jan 18 04:46:00 +0000 2026
,1,I already know a little of Fate because of just general curiosity for the premise and a fanfic I once read I have decided to start with watching Fate/Zero because Waver appears on Fate Strange Fake,Sun Jan 18 04:45:59 +0000 2026
,1,#Fatelan So I've been watching Fate Strange Fake and people seem to think that I need other series to understand it I am also DESPERATE for more of it So I am gonna be watching animes and later reading the original vn inbeetween episodes and posting my opinions with this tag https://t.co/xtXFaDEIdJ,Sun Jan 18 04:45:58 +0000 2026
,0,https://t.co/zCPlgfioI0 すごいぞ?今から俺が消える｜TVアニメ『Fate/strange Fake』第2話「群像VS虚像」というタイトルのアニメがアニプレックスチャンネルからアップロードされていたので(ﾟ∀ﾟ),Sun Jan 18 04:45:41 +0000 2026
,0,【グッズ入荷情報】 『Fate/strange Fake』 ・クリアファイル ・アクリルスタンドリトル ・ミニステッカー 各種入荷しちょんよ‼️ #strangefake #ストレンジフェイク https://t.co/vDKYI6ErHD,Sun Jan 18 04:43:24 +0000 2026
,0,For those who have a copy I never actually cracked open my Fate/strange Fake light novel because I can't read Japanese but do all the volume 1 copies come with this signature printed on? I just saw this &amp; none of the other volumes have it. I straight up have no idea if this https://t.co/xghuVJrdSQ,Sun Jan 18 04:42:27 +0000 2026
,0,Fate/strange Fakeだから死んじゃう,Sun Jan 18 04:42:11 +0000 2026
,0,Fate/Strange Fake is so good omg,Sun Jan 18 04:40:32 +0000 2026
,1,フォロワーが絶賛していたFate/strange Fakeを視聴する,Sun Jan 18 04:39:33 +0000 2026
,0,@note Fate/strange Fake 3話視聴。英霊召喚されたのかな？たくさん登場しすぎてこんがらがってきた。セイバーいなかったはずなのにいるもんなぁ,Sun Jan 18 04:39:17 +0000 2026
,0,13.3g 「潜在的なアイ」 MV (TVアニメ『Fate/strange Fake』エンディングテーマ) https://t.co/JSvOeCSCFb 良すぎ！,Sun Jan 18 04:38:48 +0000 2026
,0,私はFateのstrange/fakeは成田さんなら、完結するまで20年は掛かると思って早々に手を引いたんだけど、気になることが一点。 エルメロイⅡ世はギルに気付くだろうけど、もしギルが敗退したら発狂するのでは。 セイバーに戦車破壊されたとは言え、我が王を正面から倒したギルが負けるんだから。,Sun Jan 18 04:38:45 +0000 2026
,0,strange fakeで初めてFate世界の中で裏表なくまともな神父を見た気がする,Sun Jan 18 04:38:45 +0000 2026
,1,Fate/strange Fakeの眼鏡っ娘さんは眼鏡はずさないよね？（伊達だったり魔眼殺しだったり あの界隈の眼鏡には警戒が必要だからw）,Sun Jan 18 04:37:03 +0000 2026
,0,『受付で無料支給してるコーヒー』¥500 Fate/strange Fakeコラボカフェ、待ってます,Sun Jan 18 04:36:45 +0000 2026
,0,Reading the Manga Version of Fate Strange Fake Gilgamesh trying to be Nero https://t.co/m9kH5vOzmm,Sun Jan 18 04:34:25 +0000 2026
,0,#strangefake #ストレンジフェイク #Fake感想 https://t.co/zDBPgD0dzD,Sun Jan 18 04:34:11 +0000 2026
,0,Fate strange fake面白すぎだろ。ギル様がんばって,Sun Jan 18 04:34:00 +0000 2026
,0,Fate/strange Fakめちゃオモロいな...これは観なくてはいけない,Sun Jan 18 04:33:07 +0000 2026
,0,Man it is such a missed opportunity I want Fate/strange Fake to have a Durarara/Baccano style of opening. https://t.co/ay1fNYmGWA,Sun Jan 18 04:31:47 +0000 2026
,0,【予約情報】 TVアニメ『Fate/strange Fake』Blu-ray Disc Boxご予約受付中 #アニメイト特典 : 描き下ろしアクリルスタンド＆A2メタルクリアポスター＆メタル缶バッジ 「Original Soundtrack」のご予約も受付中 #strangefake #ストレンジフェイク https://t.co/n1TaIA9i4g,Sun Jan 18 04:30:30 +0000 2026
,0,Fake strange fateっていうアニメ評判いいみたいですね。ウチも見るのん,Sun Jan 18 04:23:36 +0000 2026
,0,数年ぶりにシリーズとしてアニメ放送しているFate/ strange Fake 3話目にしてもう既に面白い。 英霊と死徒が同時に存在する世界って設定自体が斬新だし真偽の陣営とはなんなのか今後が楽しみ,Sun Jan 18 04:23:04 +0000 2026
,0,@225Kgst @BortVerse Strange Fake c'est A-1 et on attend tjr les 2 œuvres de TM (la boîte à qui appartient fate) qu'Ufotable met sa vie à produire (l'une des 2 est très certainement annulée en plus) à cause de Demon Slayer,Sun Jan 18 04:22:50 +0000 2026
,0,Fate strange Fakeやってたりする,Sun Jan 18 04:22:03 +0000 2026
,0,Fate/strange Fake面白い️,Sun Jan 18 04:21:23 +0000 2026
,3,fate strange/fake continues to be a really great spinoff,Sun Jan 18 04:21:19 +0000 2026
,0,【フェア】 「Fate/strange Fake」 アニメ化記念フェア ＼好評開催中／ 期間中、対象商品を1冊ご購入ごとに1枚、 【書き下ろしSSリーフレット(全2種)】 をランダムでプレゼント！ 詳細 https://t.co/8rpgIW5Hf5 https://t.co/brcie1EU5n,Sun Jan 18 04:21:03 +0000 2026
,0,Fate/strange Fakeでちょいちょい今回の聖杯戦争はなにかがおかしいっていっててなんだすかまともな聖杯戦争があったんだすかってなる,Sun Jan 18 04:20:15 +0000 2026
,3,Fate/strange Fake　3話 星４ #strangefake 「受付で無料支給されているコーヒーだろーがー！」で爆笑ｗ https://t.co/70tO4WO6s5,Sun Jan 18 04:20:00 +0000 2026
,6,薮島朱音さん、Fateシリーズ（Fate/strange Fake）への出演おめでとう！！ 緊迫したシーンで自然な演技、さすがでした！！ 朱音さんが初めて好きになったアニメのシリーズの出演、ファンとしても本当に嬉しい！！ 今後の出演も期待してます！！ #strangefake #ストレンジフェイク #薮島朱音,Sun Jan 18 04:19:30 +0000 2026
,0,Fate/strange Fake追いついた。 コレ成田良悟さんが書いてるのね・・・そりゃ面白いわ。デュラララやBACCANO!の作者さんだからこういう群像劇モノは十八番でしょ・・・！！,Sun Jan 18 04:17:44 +0000 2026
,0,『Fate/strange Fake(1)』読了 https://t.co/QaoDuGW8aS,Sun Jan 18 04:14:08 +0000 2026
,2,@orihime @AlpelDokkan Starting Fate with Strange Fake is like starting the MCU with Infinity War,Sun Jan 18 04:14:06 +0000 2026
,0,Fate strange fake ハンザ神父すっごくいいですよ,Sun Jan 18 04:12:39 +0000 2026
,6,Fate strange fake 3話見だ 教会、黒鍵、代行者! (⁠≧⁠▽⁠≦⁠) https://t.co/5Oi0zYOULD,Sun Jan 18 04:12:06 +0000 2026
,0,【#アニ米子入荷情報】 『Fate/strange Fake』 ・クリアファイル 各種 ・アクリルスタンドリトル 各種 ・ミニステッカー 各種 が入荷しましたネギ！！ https://t.co/CHL5EXCWJC,Sun Jan 18 04:11:16 +0000 2026
,0,#strangefake Fate/strange fakeは色々型月知ってるとテンション上がる要素多くてたまらんよなー 遂にこうやってアニメで見れてる事に感謝 本当にずっと面白くて神だ！,Sun Jan 18 04:08:13 +0000 2026
,1,Fate/Strange Fake https://t.co/V3HFSOSre9,Sun Jan 18 04:07:47 +0000 2026
,1,Netflixで「TVアニメ『Fate/strange Fake』」を観ましたか? https://t.co/YHBkqKGuyD,Sun Jan 18 04:06:33 +0000 2026
,0,【グッズ入荷情報】 「Fate/strange Fake」 クリアファイル アクリルスタンドリトル ミニステッカー 入荷したとよ‼ #strangefake #ストレンジフェイク https://t.co/VztZheepzT,Sun Jan 18 04:06:24 +0000 2026
,0,@ImJustLagging1 @AlpelDokkan Fate Zero Unlimited Blade Works Heavens Feel movies and then after that whatever you feel like but Strange Fake would prob be your best one but also so far it's not a bad starting point.,Sun Jan 18 04:05:20 +0000 2026
,0,Fate/strange Fake Ep. 3 - Hansa destrozó a Jester PERO él escapó usando uno de sus cuerpos. Se reveló el secreto de esta guerra falsa : los 06 servants invocados son un preámbulo para los 07 servants participantes en la verdadera guerra. #anime #strangefake #ストレンジフェイク https://t.co/whGX7l2mp8,Sun Jan 18 04:02:51 +0000 2026
,1,ACABEI DE DESCOBRIR QUE FATE STRANGE FAKE É DO CARA DO DURARARA POR ISSO É PEAK,Sun Jan 18 04:01:52 +0000 2026
,0,caralho fate strange fake ta MUITO LEGAL eu so nao faço IDEIA de como os cara vao fazer pra concluir uma historia tao expansiva em 13 episodios mas fate é muito o tipo de historia que nao é mt legal de dividir em muitas temporadas,Sun Jan 18 04:01:22 +0000 2026
,30,@No_importa02 Fate/Strange Fake,Sun Jan 18 04:01:20 +0000 2026
,0,ようやく見れてる　全ての行動が遅れてる TVアニメ『Fate/strange Fake』ノンクレジットオープニングアニメーション｜「PROVANT」SawanoHiroyuki[nZk]:Jean-Ken Johnny &amp; TAKUMA - YouTube https://t.co/tcByADIYbE,Sun Jan 18 04:01:07 +0000 2026
,7,今期観るアニメ 推しの子 ゴールデンカムイ 地獄楽 呪術廻戦 葬送のフリーレン ヴィジランテ Fate/strange Fake メダリスト 豊作じゃあぁぁぁ(´°̥ω°̥｀) #冬アニメ,Sun Jan 18 04:01:04 +0000 2026
,0,【先週の重版：1月11日～1月17日】『お気楽領主の楽しい領地防衛』第9巻、『Fate/strange Fake』第1～9巻など https://t.co/xM6AQ7VQu2,Sun Jan 18 04:00:27 +0000 2026
,1,【キャラグッズ入荷情報】 『Fate/strange Fake』 ・クリアファイル ・アクリルスタンドリトル ・ミニステッカー 本日入荷しましたアサ #strangefake #ストレンジフェイク https://t.co/ciJuTHynXt,Sun Jan 18 03:59:36 +0000 2026
,0,strange fakeエグおもろい fateのアニメはどれもSSSです,Sun Jan 18 03:58:05 +0000 2026
,4,「Fate/strange Fake」おすすめです|ω･)ﾁﾗ #cq_yowatalk,Sun Jan 18 03:57:15 +0000 2026
,0,TVアニメ『Fate/strange Fake』　第3話　英霊なき戦い https://t.co/BX3pv519qS #so45841902 #ニコニコ動画 予算はどうなってんだよ予算は！！,Sun Jan 18 03:57:12 +0000 2026
,8,あげました～！！！ 【同時視聴】完全初見！Fate/strange Fake 3話【Vtuber/蒼澄あすか】 https://t.co/IESNflq52y @YouTubeより https://t.co/iJPjnBVNql,Sun Jan 18 03:55:57 +0000 2026
,2,TVアニメ『Fate/strange Fake』 第3話を視聴しました！#dアニメストア https://t.co/VnzBTxAWWK やっぱ最高だね https://t.co/UUVboIrK0i,Sun Jan 18 03:53:35 +0000 2026
,0,Fate/strange fake episode 3 was amazing and the call back to fate zero was dope! It left me with so many questions I can t wait to see be answered! For anyone wanting to watch this without any prior knowledge don t lol you need to at least understand how the holy grail work,Sun Jan 18 03:52:15 +0000 2026
,0,【オーディオ・ビジュアル予約情報】 「Fate/strange Fake」 Original Soundtrack/Blu-ray Disc BOX ご予約好評受付中グラン #strangefake レジにて通販ページのバーコード表示→簡単予約 Original Soundtrack→https://t.co/dZTUuqS2uZ Blu-ray Disc BOX→https://t.co/OSEjAeC1Bu https://t.co/CDS4l7M1cV,Sun Jan 18 03:50:00 +0000 2026
,0,Fate/strange FakeのED映像が面白くて、これは毎回見てしまうなw,Sun Jan 18 03:49:52 +0000 2026
,1,fate/strange fake面白いわー 原作者の成田良悟さんのデュラララ!とか観てたから外れる訳ないとは分かってたけど、アニメーションで闘うサーヴァント達の映像は迫力が違うね⤴️ 動く英雄王がまたTVで観れるのは感動,Sun Jan 18 03:49:51 +0000 2026
,0,Fate/strange Fakeは原作著者があの成田良悟先生なのでお得意の群像劇が良い輝き方していて面白いですよね,Sun Jan 18 03:48:02 +0000 2026
,0,Fateで思い出したんですがstrange Fakeもうアニメやってるんですよね、後で見なきゃ、英雄王とエルキドゥが宝具撃ち合って楽しそうに巨大クレーター作ってるとこすこ,Sun Jan 18 03:47:15 +0000 2026
,0,第0話にあたる『Fate/strange Fake -Whispers of Dawn-』を観て「続きは？」となったが、やっと続きが始まった 『Fate/strange Fake』第1話 他のFateを観て登場人物が多いのは判っていたが今回は関係が謎すぎてなかなかついていけない 度々、過去回を観直すことになりそう https://t.co/ymD4xosNWS,Sun Jan 18 03:46:54 +0000 2026
,0,@SomeDudeOther @euseimeunome1x @cole_25_ Ah thanks for the correction! Fate/Strange Fake it is I must've mixed up the styles. That spear throw is epic. What's the episode?,Sun Jan 18 03:45:57 +0000 2026
,0,Fate strange fakeはzeroとstay nightをルートを通っている数年後の話です。で、もうよくね？ だってこの後大人になった士郎とか凛、エルメロイ教室のメンバーもこの作品に出てくるし、完全にUBWルート通った後でしょ。死徒の王である二十七祖が存在してるから矛盾が生じてるだけであって,Sun Jan 18 03:45:44 +0000 2026
,2,Fate/strange Fakeオモロ〜！,Sun Jan 18 03:45:00 +0000 2026
