authorDisplayName,likeCount,Text,publishedAt,cleaned_text,sentiment_category
,0,@AshlihIzzy @BilalFahrur @na_dirs Itulahh kelemahan KHGT ,Thu Feb 19 10:54:22 +0000 2026,Itulahh kelemahan KHGT,Negative
,0,@ainunnajib KHGT ini bukan pny muhammadiyah ini kesepakatan bersama konferensi Turki saat itu NU muhammadiyah MUI hadir juga . jd sbnrnya niat menyatukan tanggal ini udah kesepakatan sedunia 2016 cuma muhammadiyah paling depan menyuarakan di Indonesia . ini niat baik ,Thu Feb 19 10:54:20 +0000 2026,KHGT ini bukan pny muhammadiyah ini kesepakatan bersama konferensi Turki saat itu NU muhammadiyah MUI hadir juga   jd sbnrnya niat menyatukan tanggal ini udah kesepakatan sedunia 2016 cuma muhammadiyah paling depan menyuarakan di Indonesia   ini niat baik,Positive
,0,@Marcode991 nah td salah satu topik nya : gmn pendapatmu ttg penggunaan metode KHGT dalam menentukan bln ramadhan ? masalahnya aku lg lemes puasa ga mood ngobrol panjang,Thu Feb 19 10:24:19 +0000 2026,nah td salah satu topik nya   gmn pendapatmu ttg penggunaan metode KHGT dalam menentukan bln ramadhan   masalahnya aku lg lemes puasa ga mood ngobrol panjang,Positive
,0,@infoAstronomy Pendukung KHGT bakal bilang gerhana bulan itu malam 15 bukan 14,Thu Feb 19 09:27:26 +0000 2026,Pendukung KHGT bakal bilang gerhana bulan itu malam 15 bukan 14,Neutral
,0,@Aldikurrr @AleamsBarra Utk kasus th 2026 (1447H) apakah konsep KHGT ini mengharapkan seluruh belahan dunia serentak mulai puasa pada 18 februari?,Thu Feb 19 09:02:50 +0000 2026,Utk kasus th 2026  1447H  apakah konsep KHGT ini mengharapkan seluruh belahan dunia serentak mulai puasa pada 18 februari,Neutral
,0,Ia menyinggung langkah Muhammadiyah yang pada tahun ini mengacu pada Kalender Hijriah Global Tunggal (KHGT) dalam penentuan awal Ramadan.,Thu Feb 19 08:24:32 +0000 2026,Ia menyinggung langkah Muhammadiyah yang pada tahun ini mengacu pada Kalender Hijriah Global Tunggal  KHGT  dalam penentuan awal Ramadan,Neutral
,0,@Mujail @ainunnajib @zicostian Kriteria hilal MABIMS (tinggi 3° elongasi 6 4°) sering dilihat lebih tradisional karena gabung hisab &amp; rukyat sesuai interpretasi fiqh NU &amp; Persis. Sementara KHGT Muhammadiyah (tinggi 5° elongasi 8°) fokus unifikasi global dianggap sejalan maqasid syariah untuk persatuan,Thu Feb 19 08:13:05 +0000 2026,Kriteria hilal MABIMS  tinggi 3  elongasi 6 4   sering dilihat lebih tradisional karena gabung hisab  amp  rukyat sesuai interpretasi fiqh NU  amp  Persis  Sementara KHGT Muhammadiyah  tinggi 5  elongasi 8   fokus unifikasi global dianggap sejalan maqasid syariah untuk persatuan,Neutral
,0,@ainunnajib @zicostian @grok Apakah kriteria hilal oleh MABIMS lebih syariah friendly ketimbang KHGT?,Thu Feb 19 08:12:32 +0000 2026,Apakah kriteria hilal oleh MABIMS lebih syariah friendly ketimbang KHGT,Neutral
,0,@membacamulagi @AleamsBarra Banyak yg protes bahkan ada warga muhammadiyah yg ga setuju dg KHGT ini.. mereka pun pilih ikut pemerintah.,Thu Feb 19 08:12:19 +0000 2026,Banyak yg protes bahkan ada warga muhammadiyah yg ga setuju dg KHGT ini   mereka pun pilih ikut pemerintah,Negative
,0,-- Soal kriteria itu bisa dibahas lagi bisa disepakati mana yang kira2 paling tepat dan sesuai dengan kaidah Islam. Makanya KHGT itu masih sangat muda sangat layak untuk dikritisi dan diberikan masukan oleh berbagai pihak asal memang dari awal tujuannya udah selaras yakni --,Thu Feb 19 07:58:17 +0000 2026,Soal kriteria itu bisa dibahas lagi bisa disepakati mana yang kira2 paling tepat dan sesuai dengan kaidah Islam  Makanya KHGT itu masih sangat muda sangat layak untuk dikritisi dan diberikan masukan oleh berbagai pihak asal memang dari awal tujuannya udah selaras yakni,Positive
