authorDisplayName;likeCount;Text;publishedAt;cleaned_text;sentiment_category;word_count
;0;Ia menyinggung langkah Muhammadiyah yang pada tahun ini mengacu pada Kalender Hijriah Global Tunggal (KHGT) dalam penentuan awal Ramadan.;Thu Feb 19 08:24:32 +0000 2026;Ia menyinggung langkah Muhammadiyah yang pada tahun ini mengacu pada Kalender Hijriah Global Tunggal  KHGT  dalam penentuan awal Ramadan;neutral;19
;0;"@Mujail @ainunnajib @zicostian Kriteria hilal MABIMS (tinggi 3° elongasi 6 4°) sering dilihat lebih tradisional karena gabung hisab &amp; rukyat sesuai interpretasi fiqh NU &amp; Persis. Sementara KHGT Muhammadiyah (tinggi 5° elongasi 8°) fokus unifikasi global dianggap sejalan maqasid syariah untuk persatuan";Thu Feb 19 08:13:05 +0000 2026;Kriteria hilal MABIMS  tinggi 3  elongasi 6 4   sering dilihat lebih tradisional karena gabung hisab  amp  rukyat sesuai interpretasi fiqh NU  amp  Persis  Sementara KHGT Muhammadiyah  tinggi 5  elongasi 8   fokus unifikasi global dianggap sejalan maqasid syariah untuk persatuan;neutral;39
;0;@ainunnajib @zicostian @grok Apakah kriteria hilal oleh MABIMS lebih syariah friendly ketimbang KHGT?;Thu Feb 19 08:12:32 +0000 2026;Apakah kriteria hilal oleh MABIMS lebih syariah friendly ketimbang KHGT;neutral;10
;0;@membacamulagi @AleamsBarra Banyak yg protes bahkan ada warga muhammadiyah yg ga setuju dg KHGT ini.. mereka pun pilih ikut pemerintah.;Thu Feb 19 08:12:19 +0000 2026;Banyak yg protes bahkan ada warga muhammadiyah yg ga setuju dg KHGT ini   mereka pun pilih ikut pemerintah;negative;18
;0;-- Soal kriteria itu bisa dibahas lagi bisa disepakati mana yang kira2 paling tepat dan sesuai dengan kaidah Islam. Makanya KHGT itu masih sangat muda sangat layak untuk dikritisi dan diberikan masukan oleh berbagai pihak asal memang dari awal tujuannya udah selaras yakni --;Thu Feb 19 07:58:17 +0000 2026;Soal kriteria itu bisa dibahas lagi bisa disepakati mana yang kira2 paling tepat dan sesuai dengan kaidah Islam  Makanya KHGT itu masih sangat muda sangat layak untuk dikritisi dan diberikan masukan oleh berbagai pihak asal memang dari awal tujuannya udah selaras yakni;positive;42
;1;@farhan_fevrier @zicostian secara teknis bedanya cuma sejauh apa membulatkannya Kalender Cina: asalkan 0⁰ terjadi di hari itu bulatkan ke belakang hari itu tanggal 1 Wujudul Hilal: 0⁰ musti terjadi setelah terbenam matahari sebelum terbenam bulan besoknya baru tanggal 1 KHGT: 0⁰ terjadi di manapun;Thu Feb 19 07:49:21 +0000 2026;secara teknis bedanya cuma sejauh apa membulatkannya Kalender Cina  asalkan 0  terjadi di hari itu bulatkan ke belakang hari itu tanggal 1 Wujudul Hilal  0  musti terjadi setelah terbenam matahari sebelum terbenam bulan besoknya baru tanggal 1 KHGT  0  terjadi di manapun;negative;42
;0;@Mujail @ainunnajib @zicostian @muhammadiyah Penjelasan netral: Thread tersebut tampak mengkritik pihak yang ingin persatuan global tapi enggan bersatu lokal (kemungkinan merujuk Muhammadiyah). KHGT Muhammadiyah pakai matla' global untuk keseragaman dunia sementara metode pemerintah (rukyat + hisab MABIMS) lebih;Thu Feb 19 07:34:02 +0000 2026;Penjelasan netral  Thread tersebut tampak mengkritik pihak yang ingin persatuan global tapi enggan bersatu lokal  kemungkinan merujuk Muhammadiyah   KHGT Muhammadiyah pakai matla  global untuk keseragaman dunia sementara metode pemerintah  rukyat   hisab MABIMS  lebih;negative;33
;0;@KabarMuh_ID menurut saya yg bermasalah adalah KHGT menghitung penetapan awal hari mulai dari pasifik ke barat ini jelas tanpa hadits. kenapa penetapan garis tanggal g di arab saudi saja dari atas ka'bah ? Kenapa pasifik? Kenapa harus sama satu dunia padahal tempat muncul hilal berbeda;Thu Feb 19 07:38:22 +0000 2026;menurut saya yg bermasalah adalah KHGT menghitung penetapan awal hari mulai dari pasifik ke barat ini jelas tanpa hadits  kenapa penetapan garis tanggal g di arab saudi saja dari atas ka bah   Kenapa pasifik  Kenapa harus sama satu dunia padahal tempat muncul hilal berbeda;negative;44
;0;@Widi17081945 @ainunnajib @KabarMuh_ID Hisab sebagai patokan dibarengi rukyat lalu penentuan akhir. Semisal hilal diatas 0 drajat mau ikut keputusan hisab MU ya monggo problemnya tahun ini adalah 1. posisi hilal dibawah 0 drajat (wil NKRI) 2. KHGT (ini yg dikritisi) kut yg paling logis menurut anda bebas.;Thu Feb 19 07:25:27 +0000 2026;Hisab sebagai patokan dibarengi rukyat lalu penentuan akhir  Semisal hilal diatas 0 drajat mau ikut keputusan hisab MU ya monggo problemnya tahun ini adalah 1  posisi hilal dibawah 0 drajat  wil NKRI  2  KHGT  ini yg dikritisi  kut yg paling logis menurut anda bebas;negative;44
;0;@herry_zudianto @ainunnajib Ya kl hisabnya msh hisab lokal okelah perbedaan bs dimaklumi. Kl khgt? Mulai puasa 18 feb saat msh 30 syaban apakah sah? Krn diseluruh belahan bumi saat itu blm masuk bln baru;Thu Feb 19 06:58:22 +0000 2026;Ya kl hisabnya msh hisab lokal okelah perbedaan bs dimaklumi  Kl khgt  Mulai puasa 18 feb saat msh 30 syaban apakah sah  Krn diseluruh belahan bumi saat itu blm masuk bln baru;negative;32
