publishedAt,authorDisplayName,textDisplay,likeCount
2025-04-15T12:39:09Z,@eywaah,"2D animation really suits league of legends universe ! It changes form the 3d animation, big fan of it !",0
2025-04-15T12:33:18Z,@sabadiasamidze-r2w,morgana look amazing,0
2025-04-15T12:27:36Z,@MeowMusicNightcore,Is this so beautiful 😭💖,0
2025-04-15T12:25:32Z,@manfrastmorn,Video is cool but I don’t think this is video for cinematic for league season ?,0
2025-04-15T12:24:23Z,@starchyhanayuki3389,is this connected in arcane?,0
2025-04-15T12:22:31Z,@calvintam8093,"So many Ionia champion we have ,of course we have to include the most ionia character,LUX",1
2025-04-15T12:16:10Z,@xSupajesusX,Jesus just make a 2d handrawn anime already,0
2025-04-15T12:12:44Z,@EvilSteve277,Lilass voice is so purify to my soul 🥹,0
2025-04-15T12:27:23Z,@xSupajesusX,Oh wow is that lilias voice?!,1
2025-04-15T12:42:50Z,@aizawaaiminn,​@@xSupajesusX Yep lilas ikutas voice,0
2025-04-15T12:11:15Z,@mihneaanghelescu8807,"Wow this guys are making such good animations, they should really consider making a game",0
2025-04-15T12:10:28Z,@nguyenduymanh4755,yea riot make game to aadvertise their music their flim ( not toxic),0
2025-04-15T12:10:20Z,@HomTolland69,Why are people commenting as if this is the main universe? Spirit Blossom is an alternate universe,0
2025-04-15T12:33:54Z,@wizzscout959,Spirit Blossom is an actual cannonical event in Runterra that happens every year. Its more of a festival where people from the real realm can contact dead people.,0
2025-04-15T12:08:50Z,@BragginRitesVTT,Xin Zhao VGU confirmed?!?!,0
2025-04-15T12:08:45Z,@starchyhanayuki3389,whos this diva,0
2025-04-15T12:07:12Z,@starchyhanayuki3389,yes,0
2025-04-15T12:03:55Z,@mgsBicycleO9,Well done to everyone who worked on this 💯,0
2025-04-15T12:03:34Z,@HoyhoBalasong-vq1bg,this will hit dif when aurora was the one singing,0
2025-04-15T12:03:15Z,@Dudedu669,Lux again🤮🤮,0
2025-04-15T11:58:02Z,@phone9375,KEVIN PENKIN!!!!!!,0
2025-04-15T11:57:31Z,@namfingerstyle8403,.7m views. RIOT cinematic fell off hard,0
2025-04-15T11:56:48Z,@ViolaMint,the whole cinematic is in lotusesnot a word about Jhin or HweiBruh,0
2025-04-15T11:54:57Z,@ivanalvarez5176,"Let my inner Necrit cook a little bit... Imagine Xin being a slave in Noxus, escaping that world and returning to Ionia (maybe thats what the Black Rose meant by losing their host), just for him to find the darkin glaive and (maybe) gain control over the darkin...",0
2025-04-15T11:52:52Z,@CRiver396,I wouldnt mind if this was a anime movie,0
2025-04-15T11:51:04Z,@purpleberry3564,Skinline the trailer,0
2025-04-15T11:49:39Z,@Gagapoonda,Still no spirit blossom Karma WE RIOT,0
2025-04-15T11:48:01Z,@Extracoolshade,A mystical world is worth saving. Thats why shen is there.,0
2025-04-15T11:47:24Z,@mrfright7913,trash new champ,1
2025-04-15T11:43:34Z,@generationofmiracles3885,Season 2 ?? Wtf is season  ? Wtf huh ? 🤔,0
2025-04-15T11:43:13Z,@iremovedmyname,I prefer the action cinematics,0
2025-04-15T11:42:07Z,@Mr.Night_n,Some of the tone is the same as The Song from Soundtrack Song of the Sea,0
2025-04-15T11:36:01Z,@Gladis-j7h,My 2025 bingo card doesnt show that Im in love with Xin.,40
2025-04-15T11:32:50Z,@jit5270,Realistic cinematics when???,4
2025-04-15T11:18:06Z,@AmadeAmaya,I feel like we need this song with Japanese vocals,2
2025-04-15T11:00:50Z,@danielaparteaga,Why Irelia appears  secccc 😢,0
2025-04-15T10:54:14Z,@Zoey--,If the MMO is a fraction this good in Ionia Im sold 00 times over. Or you know just make a netflix series of this and Ill watch is 500 times.,0
2025-04-15T10:47:05Z,@barny541,2:0 that better be the new character,0
2025-04-15T10:40:24Z,@geraltofrivia9873,"As a Noxian, I cannot wait to invade Ionia.",0
2025-04-15T10:39:56Z,@Timotheusy,AAAAAA AAAAAA OOOO AAAAAAA,0
2025-04-15T10:35:57Z,@thaiduy3796,"So Ashe, XZ, Lux (ofc), Shen, Evelyn?, Irelia?, Morgana, and new champ? (new mage/enchanter?)",0
2025-04-15T10:35:53Z,@Zoruasy,Sickkkkk,0
2025-04-15T10:35:44Z,@alilith3476,Me being down bad for Xin isnt on my 2025 bingo card,0
2025-04-15T10:34:56Z,@rozitahilasaplitzki6031,"Not saying the singer is bad, actually she is good, but I think Aurora would suit this song better.",0
2025-04-15T10:30:51Z,@Foxo33,Is that SpiritBlossom Xolaani?,0
2025-04-15T10:28:49Z,@TessaKEYAMO-j5w,The transitions were transitioning🙌👏👌👍,0
2025-04-15T10:27:29Z,@mif4731,omg its the vocalist from YOASOBI!!!,0
2025-04-15T10:27:19Z,@machinegunczteo4091,look like Nidalee my love 333,0
2025-04-15T10:24:56Z,@nikhilmavi6076,Ah.....this is going to make me redownload....,0
2025-04-15T10:24:07Z,@phuoctan2301,:7 i just realize there is a capybara on the left side,0
2025-04-15T10:23:50Z,@SEUKNAMCHAN,❤❤❤😍😍😍😊😊😊,0
2025-04-15T10:22:49Z,@lyrence,3,0
2025-04-15T10:20:13Z,@yamochanchan,Guys~ Can you just make an anime already? I mean... We all know you want to!,0
2025-04-15T10:12:25Z,@R3zeeeee,"It feels so nostalgic even though i wasnt part of it, its like returning after a battle to your hometown.",0
2025-04-15T10:04:50Z,@volibear77,oh my god my warrior xin zhao,0
2025-04-15T10:03:16Z,@HSXspartan,Ionia = Peace Is AmazingVlad and Leblanc = Hold My WAR!,0
2025-04-15T10:03:06Z,@teemo2434,Vocals performed by: Lilas Ikuta,0
2025-04-15T10:19:19Z,@ashirowo,tahnsk!!!!,0
2025-04-15T10:02:40Z,@jeffling6546,Here for Lilas 🥰🥰🥰🥰🥰,1
2025-04-15T10:00:43Z,@DungHa-b4d,"Stop with Lux please, I dont think she fits this universe. Although I LOVE this universe ❤",0
2025-04-15T09:56:39Z,@kurochannel8737,Wait so wheres Sona. Did xin just go on his own and leave Sona with a burning demacia,0
2025-04-15T09:55:25Z,@chaitanyadabbiru6535,"Spirit blossom anime. We got 3d animated series, now we need 2d animated series. DO IT RITO",0
2025-04-15T09:55:08Z,@clajmate69,the vocals of yoasobi!!!!i knew it its so familiar.can we see her at worlds? will we get a japan worlds location?ahhhhh im excited,0
2025-04-15T09:52:36Z,@Mummynetta,i play this game for music video like this.,0
2025-04-15T09:51:38Z,@nozied00k76,Such a BIBLICAL feat. by MY GOAT KEVIN PENKINNNN!!!,0
2025-04-15T09:40:48Z,@eslam386,Riot music team never disappoint me ❤,0
2025-04-15T09:34:47Z,@Lovecrank333,"New Secret Lair Ionia x MTG0:6 black lotus birds of paradise0:3 Nylea, god of the hunt:08 ornithopter of paradise:23 lotus field:3 felidar sovereign:52 wrath of god Avacyns memorial2:0 Trostani black lotus",1
2025-04-15T09:33:12Z,@privat6183,MMORPG vibes! Well done!,0
2025-04-15T09:27:26Z,@cimu1237,❤❤❤,0
2025-04-15T09:26:41Z,@Veljo5117,the music reminds me of mulan,0
2025-04-15T09:26:07Z,@Ara12t15t, Bards meeps ?,0
2025-04-15T09:19:35Z,@squallrulz20,"The cherry blossom in the earlier scenes looks really jarring compared to how I have seen them animated in more traditional anime, kind of low detail compared to everything.This also looks like a person who loves Avtar the last airbender/Miyazaki, which I really like.",0
2025-04-15T09:18:25Z,@VeniSan-h5h,The youngster in the mask reminds me a lot of Jhin.  I get a Jhin vibe even from the background breathing sound.,64
2025-04-15T09:17:09Z,@verm,i love this art style,1
2025-04-15T09:13:35Z,@nielsjensen4185,I can see the inspiration for this. Ghiblisque environments.Triggersque kinematics Ufotablesque cameraworks.This is how innovation is supposed to work. Take what came before you and then extrapolate on it in new and exciting ways.,0
2025-04-15T09:13:00Z,@omarzepedaaguilar,beautiful,0
2025-04-15T09:05:34Z,@kdprefecttor6527,finally  xin is home,0
2025-04-15T09:02:40Z,@GgQush,imagine we are going to land of magic and lux taking prestige while there is syndra karmalux has nothing about lonia Good WOKE,1
2025-04-15T08:59:53Z,@thientraninh7418,The wearing mask kid really remind me of Jhin. Even the breathing sound in the background also give me Jhin vibe.,0
2025-04-15T08:56:36Z,@Jiyodude,Here goes my dream for Ashe ASU when the reljord season comes,0
2025-04-15T08:53:08Z,@fhg9793,Is this Canon Event?,0
2025-04-15T08:48:44Z,@embracem7722,THIS IS SO BEAUTIUL. DOES THIS MEAN... APHELIOS SPIRIT BLOSSOM PRESTIGE???,0
